http://dbpedia.org/ontology/sourceConfluencePosition	source confluence position	http://dbpedia.org/ontology/River	http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing
http://dbpedia.org/ontology/distributor	distributor		http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/mergedIntoParty	merged into party	http://dbpedia.org/ontology/PoliticalParty	http://dbpedia.org/ontology/PoliticalParty
http://dbpedia.org/ontology/europeanAffiliation	european affiliation	http://dbpedia.org/ontology/PoliticalParty	
http://dbpedia.org/ontology/governmentCountry	government country	http://dbpedia.org/ontology/Island	http://dbpedia.org/ontology/Country
http://dbpedia.org/ontology/musicFusionGenre	music fusion genre	http://dbpedia.org/ontology/MusicGenre	http://dbpedia.org/ontology/MusicGenre
http://dbpedia.org/ontology/largestSettlement	largest settlement	http://dbpedia.org/ontology/PopulatedPlace	http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/ontology/openingTheme	opening theme	http://dbpedia.org/ontology/TelevisionShow	http://dbpedia.org/ontology/Work
http://dbpedia.org/ontology/voice	voice	http://dbpedia.org/ontology/TelevisionShow	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/politicalPartyInLegislature	political party in legislature	http://dbpedia.org/ontology/Legislature	http://dbpedia.org/ontology/PoliticalParty
http://dbpedia.org/ontology/destination	destination	http://dbpedia.org/ontology/Airline	http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/ontology/whaDraftTeam	wha draft team	http://dbpedia.org/ontology/IceHockeyPlayer	http://dbpedia.org/ontology/HockeyTeam
http://dbpedia.org/ontology/sport	sport		http://dbpedia.org/ontology/Sport
http://dbpedia.org/ontology/routeJunction	route junction	http://dbpedia.org/ontology/RouteOfTransportation	http://dbpedia.org/ontology/RouteOfTransportation
http://dbpedia.org/ontology/locatedInArea	located in area	http://dbpedia.org/ontology/Place	http://dbpedia.org/ontology/Place
http://dbpedia.org/ontology/memberOfParliament	Member of Parliament		http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/jurisdiction	jurisdiction		
http://dbpedia.org/ontology/creatorOfDish	creator of dish	http://dbpedia.org/ontology/Food	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/twinCountry	twin country	http://dbpedia.org/ontology/Country	http://dbpedia.org/ontology/Country
http://dbpedia.org/ontology/sourceConfluenceMountain	source confluence mountain	http://dbpedia.org/ontology/River	http://dbpedia.org/ontology/Mountain
http://dbpedia.org/ontology/album	album		http://dbpedia.org/ontology/Album
http://dbpedia.org/ontology/saint	saint	http://dbpedia.org/ontology/PopulatedPlace	http://dbpedia.org/ontology/Saint
http://dbpedia.org/ontology/march	march	http://dbpedia.org/ontology/MilitaryUnit	http://dbpedia.org/ontology/MusicalWork
http://dbpedia.org/ontology/coach	coach		http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/house	house	http://dbpedia.org/ontology/Legislature	http://dbpedia.org/ontology/Legislature
http://dbpedia.org/ontology/unitaryAuthority	unitary authority	http://dbpedia.org/ontology/PopulatedPlace	http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/ontology/river	river	http://dbpedia.org/ontology/Place	http://dbpedia.org/ontology/River
http://dbpedia.org/ontology/head	head	http://dbpedia.org/ontology/EducationalInstitution	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/areaOfSearch	area of search	http://dbpedia.org/ontology/SiteOfSpecialScientificInterest	http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/ontology/biome	biome		
http://dbpedia.org/ontology/relatedMeanOfTransportation	related mean of transportation	http://dbpedia.org/ontology/MeanOfTransportation	http://dbpedia.org/ontology/MeanOfTransportation
http://dbpedia.org/ontology/sales	sales		http://dbpedia.org/ontology/Sales
http://dbpedia.org/ontology/managingEditor	managing editor	http://dbpedia.org/ontology/Newspaper	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/summerAppearances	summer appearances	http://dbpedia.org/ontology/OlympicResult	http://dbpedia.org/ontology/OlympicResult
http://dbpedia.org/ontology/winterAppearances	winter appearances	http://dbpedia.org/ontology/OlympicResult	http://dbpedia.org/ontology/OlympicResult
http://dbpedia.org/ontology/dean	dean	http://dbpedia.org/ontology/EducationalInstitution	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/previousEditor	previous editor	http://dbpedia.org/ontology/Magazine	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/broadcastNetwork	broadcast network	http://dbpedia.org/ontology/Broadcaster	http://dbpedia.org/ontology/BroadcastNetwork
http://dbpedia.org/ontology/sisterNewspaper	sister newspaper	http://dbpedia.org/ontology/Newspaper	http://dbpedia.org/ontology/Newspaper
http://dbpedia.org/ontology/congressionalDistrict	congressional district	http://dbpedia.org/ontology/AdministrativeRegion	
http://dbpedia.org/ontology/homeStadium	home stadium		http://dbpedia.org/ontology/Stadium
http://dbpedia.org/ontology/rival	rival	http://dbpedia.org/ontology/School	http://dbpedia.org/ontology/School
http://dbpedia.org/ontology/spokesperson	spokesperson	http://dbpedia.org/ontology/PoliticalParty	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/heir	heir	http://dbpedia.org/ontology/Monarch	http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/lowestRegion	lowest region	http://dbpedia.org/ontology/Island	http://dbpedia.org/ontology/PopulatedPlace
