http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 4
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftHelicopter	 aircraft helicopter	 4
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftPatrol	 aircraft patrol	 8
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftTransport	 aircraft transport	 10
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 10
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftInterceptor	 aircraft interceptor	 24
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftRecon	 aircraft recon	 42
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 60
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftTrainer	 aircraft trainer	 76
http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 790
http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 2
http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 http://dbpedia.org/ontology/aircraftPatrol	 aircraft patrol	 3
http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 http://dbpedia.org/ontology/aircraftRecon	 aircraft recon	 5
http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 5
http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 http://dbpedia.org/ontology/aircraftTransport	 aircraft transport	 9
http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 355
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftHelicopterAttack	 aircraft helicopter attack	 2
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftInterceptor	 aircraft interceptor	 2
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 4
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftRecon	 aircraft recon	 6
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftPatrol	 aircraft patrol	 8
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftTransport	 aircraft transport	 20
http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 http://dbpedia.org/ontology/aircraftElectronic	 aircraft electronic	 166
http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 http://dbpedia.org/ontology/aircraftBomber	 aircraft bomber	 2
http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 http://dbpedia.org/ontology/aircraftTrainer	 aircraft trainer	 7
http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 http://dbpedia.org/ontology/aircraftRecon	 aircraft recon	 14
http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 http://dbpedia.org/ontology/aircraftInterceptor	 aircraft interceptor	 18
http://dbpedia.org/ontology/aircraftFighter	 aircraft fighter	 http://dbpedia.org/ontology/aircraftAttack	 aircraft attack	 30
