mushroom	 http://dbpedia.org/ontology/Fungus	 fungus
shellfish	 http://dbpedia.org/ontology/Crustacean	 crustacean
piece of work	 http://dbpedia.org/ontology/MusicalWork	 musical work
LP	 http://dbpedia.org/ontology/Album	 album
track	 http://dbpedia.org/ontology/Song	 song
movie	 http://dbpedia.org/ontology/Film	 film
musician	 http://dbpedia.org/ontology/MusicalArtist	 musical artist
TV show	 http://dbpedia.org/ontology/TelevisionShow	 television show
show	 http://dbpedia.org/ontology/TelevisionShow	 television show
TV episode	 http://dbpedia.org/ontology/TelevisionEpisode	 television episode
episode	 http://dbpedia.org/ontology/TelevisionEpisode	 television episode
broadcasting station	 http://dbpedia.org/ontology/RadioStation	 radio station
prize	 http://dbpedia.org/ontology/Award	 award
label	 http://dbpedia.org/ontology/RecordLabel	 record label
genre	 http://dbpedia.org/ontology/MusicGenre	 music genre
star	 http://dbpedia.org/ontology/starring	 starring
feature	 http://dbpedia.org/ontology/starring	 starring
win	 http://dbpedia.org/ontology/award	 award
receive	 http://dbpedia.org/ontology/award	 award
illness	 http://dbpedia.org/ontology/Disease	 disease
sickness	 http://dbpedia.org/ontology/Disease	 disease
medicine	 http://dbpedia.org/ontology/Drug	 drug
medicament	 http://dbpedia.org/ontology/Drug	 drug
pharmaceutical	 http://dbpedia.org/ontology/Drug	 drug
bacillus	 http://dbpedia.org/ontology/Bacteria	 bacteria
germs	 http://dbpedia.org/ontology/Bacteria	 bacteria
mall	 http://dbpedia.org/ontology/ShoppingMall	 shopping mall
shopping center	 http://dbpedia.org/ontology/ShoppingMall	 shopping mall
infirmary	 http://dbpedia.org/ontology/Hospital	 hospital
street	 http://dbpedia.org/ontology/Road	 road
highway	 http://dbpedia.org/ontology/Road	 road
route	 http://dbpedia.org/ontology/Road	 road
beacon	 http://dbpedia.org/ontology/Lighthouse	 lighthouse
web page	 http://dbpedia.org/ontology/Website	 website
case	 http://dbpedia.org/ontology/LegalCase	 Legal Case
court case	 http://dbpedia.org/ontology/LegalCase	 Legal Case
law case	 http://dbpedia.org/ontology/LegalCase	 Legal Case
legal matter	 http://dbpedia.org/ontology/LegalCase	 Legal Case
drink	 http://dbpedia.org/ontology/Beverage	 beverage
war	 http://dbpedia.org/ontology/MilitaryConflict	 military conflict
battle	 http://dbpedia.org/ontology/MilitaryConflict	 military conflict
party	 http://dbpedia.org/ontology/PoliticalParty	 political party
labor union	 http://dbpedia.org/ontology/TradeUnion	 trade union
paper	 http://dbpedia.org/ontology/Newspaper	 newspaper
journal	 http://dbpedia.org/ontology/Newspaper	 newspaper
periodical	 http://dbpedia.org/ontology/Magazine	 magazine
researcher	 http://dbpedia.org/ontology/Scientist	 scientist
premier	 http://dbpedia.org/ontology/PrimeMinister	 prime minister
bishop	 http://dbpedia.org/ontology/ChristianBishop	 Christian Bishop
clerk	 http://dbpedia.org/ontology/Cleric	 cleric
priest	 http://dbpedia.org/ontology/Priest	 pr̻tre
thug	 http://dbpedia.org/ontology/Criminal	 criminal
magistrate	 http://dbpedia.org/ontology/Judge	 judge
marry	 http://dbpedia.org/ontology/spouse	 spouse
weigh	 http://dbpedia.org/ontology/weight	 weight (g)
